target,selection,crossbreed,mutation,prob,survival,generations,MSE,triangles,population_size,time
.\test_images\emoji.png,roulette,ring,uniform,0.1,exclusive,2000,4335.6553,5,20,30.9665
.\test_images\emoji.png,roulette,ring,uniform,0.1,additive,2000,1999.1255,5,20,31.2160
.\test_images\emoji.png,roulette,uniform,single,0.01,additive,2000,4354.8608,5,10,19.3528
.\test_images\emoji.png,roulette,ring,uniform,0.5,additive,2000,2192.9895,5,20,30.1371
.\test_images\emoji.png,roulette,ring,uniform,0.1,exclusive,2000,3456.4775,5,30,33.6219
.\test_images\emoji.png,roulette,ring,uniform,0.5,exclusive,2000,7231.7100,5,20,29.3843
.\test_images\emoji.png,roulette,ring,uniform,0.1,additive,2000,2138.1960,5,30,36.5278
.\test_images\emoji.png,roulette,uniform,single,0.01,additive,2000,3439.6560,5,20,27.0190
.\test_images\emoji.png,roulette,ring,uniform,0.5,additive,2000,2367.9194,5,30,38.9359
.\test_images\emoji.png,roulette,uniform,single,0.01,exclusive,2000,4272.8350,5,10,24.3946
.\test_images\emoji.png,roulette,uniform,single,0.1,additive,2000,2389.4910,5,10,24.3969
.\test_images\emoji.png,roulette,uniform,single,0.01,additive,2000,2609.7834,5,30,28.7094
.\test_images\emoji.png,roulette,uniform,single,0.01,exclusive,2000,3307.3247,5,20,26.2458
.\test_images\emoji.png,roulette,ring,uniform,0.5,exclusive,2000,5281.3110,5,30,36.4655
.\test_images\emoji.png,roulette,uniform,single,0.1,exclusive,2000,2473.0950,5,10,24.5746
.\test_images\emoji.png,roulette,uniform,single,0.1,additive,2000,2270.4282,5,20,26.5577
.\test_images\emoji.png,roulette,uniform,single,0.01,exclusive,2000,2827.7285,5,30,28.9072
.\test_images\emoji.png,roulette,uniform,single,0.5,additive,2000,2274.7041,5,10,23.3643
.\test_images\emoji.png,roulette,uniform,single,0.1,additive,2000,2003.3513,5,30,29.8599
.\test_images\emoji.png,roulette,uniform,single,0.1,exclusive,2000,2208.1345,5,20,27.9965
.\test_images\emoji.png,roulette,uniform,single,0.5,exclusive,2000,2080.3789,5,10,26.1681
.\test_images\emoji.png,roulette,uniform,single,0.1,exclusive,2000,2222.9480,5,30,28.8722
.\test_images\emoji.png,roulette,uniform,single,0.5,additive,2000,1999.3887,5,20,29.2600
.\test_images\emoji.png,roulette,uniform,single,0.5,additive,2000,2091.0234,5,30,30.0179
.\test_images\emoji.png,roulette,uniform,uniform,0.01,additive,2000,2004.4142,5,20,25.5975
.\test_images\emoji.png,roulette,uniform,uniform,0.01,additive,2000,1945.1405,5,10,26.0363
.\test_images\emoji.png,roulette,uniform,single,0.5,exclusive,2000,2134.9456,5,20,28.3513
.\test_images\emoji.png,roulette,uniform,single,0.5,exclusive,2000,2156.2432,5,30,28.8536
.\test_images\emoji.png,roulette,uniform,uniform,0.01,exclusive,2000,2204.8997,5,10,22.3356
.\test_images\emoji.png,roulette,uniform,uniform,0.01,additive,2000,2055.1626,5,30,29.7144
.\test_images\emoji.png,roulette,uniform,uniform,0.01,exclusive,2000,2170.1221,5,20,26.6351
.\test_images\emoji.png,roulette,uniform,uniform,0.1,additive,2000,2108.4910,5,10,25.6125
.\test_images\emoji.png,roulette,uniform,uniform,0.1,exclusive,2000,3954.2410,5,10,27.5074
.\test_images\emoji.png,roulette,uniform,uniform,0.5,additive,2000,2397.4250,5,10,24.2903
.\test_images\emoji.png,roulette,uniform,uniform,0.1,additive,2000,2035.9989,5,20,29.1347
.\test_images\emoji.png,roulette,uniform,uniform,0.01,exclusive,2000,2138.1660,5,30,32.3137
.\test_images\emoji.png,roulette,uniform,uniform,0.1,exclusive,2000,3828.7708,5,20,28.2798
.\test_images\emoji.png,universal,one-point,single,0.01,additive,2000,3309.7019,5,10,22.0948
.\test_images\emoji.png,roulette,uniform,uniform,0.5,exclusive,2000,8242.0977,5,10,25.2757
.\test_images\emoji.png,roulette,uniform,uniform,0.5,additive,2000,2393.0581,5,20,29.9461
.\test_images\emoji.png,roulette,uniform,uniform,0.1,additive,2000,1898.1344,5,30,34.8579
.\test_images\emoji.png,roulette,uniform,uniform,0.1,exclusive,2000,3512.7393,5,30,33.2293
.\test_images\emoji.png,universal,one-point,single,0.01,exclusive,2000,4450.8345,5,10,23.0471
.\test_images\emoji.png,roulette,uniform,uniform,0.5,exclusive,2000,6546.3813,5,20,28.0808
.\test_images\emoji.png,universal,one-point,single,0.01,exclusive,2000,2523.8010,5,20,23.8223
.\test_images\emoji.png,universal,one-point,single,0.01,additive,2000,2684.8132,5,20,26.4252
